date,price,product,store_name
10/01/2021,199.00 zł ,Budka Dla Ptaków + 4 Kieliszki + Wódka Dębowa 1l,Hurtownia alkoholi
10/01/2021,132.00 zł ,"Budka Expressowa Kurnwica 27%  0,7l",Hurtownia alkoholi
10/01/2021,165.00 zł ,"Budka Mała Dla Ptaków + Dębowa 40% 0,7",Hurtownia alkoholi
10/01/2021,64.00 zł ,"Cachaca 51 40% 0,7l",Hurtownia alkoholi
10/01/2021,57.00 zł ,"Cachaca Aguacana 37,5% 0,7l",Hurtownia alkoholi
10/01/2021,63.00 zł ,"Cachaca Canario 40% 0,7L",Hurtownia alkoholi
10/01/2021,80.00 zł ,"Carskaja 40% 0,7l",Hurtownia alkoholi
10/01/2021,208.00 zł ,"Carskaja 40% 1,75l",Hurtownia alkoholi
date,price,product,store_name
10/01/2021,"283,00",Wódka 3 Kilos Gold 1l,Smacza jama
10/01/2021,"139,90","Wódka Beluga - Noble Russian Vodka 0,7l",Smacza jama
10/01/2021,"549,00","Wódka Beluga Gold Line 0,7l w skórzanej tubie",Smacza jama
10/01/2021,"159,00","Wódka Belvedere 0,7l z kieliszkiem Spritz",Smacza jama
10/01/2021,"169,00","Wódka Belvedere Heritage 176 40% 0,7l",Smacza jama
10/01/2021,"149,00","Wódka Belvedere Pure 0,7l w puszce",Smacza jama
10/01/2021,"179,00","Wódka Belvedere Unfiltered Lake Bartężek 0,7l",Smacza jama
10/01/2021,"179,00","Wódka Belvedere Unfiltered Smogóry Forest 0,7l",Smacza jama
10/01/2021,"299,00",Wódka Chopin Rye 3l w kartoniku,Smacza jama
10/01/2021,"139,90","Wódka Chopin Wheat 0,7l w kartoniku",Smacza jama
10/01/2021,"749,00","Wódka Chopin Young Potato Family Reserve Extra Rare 0,75l",Smacza jama
10/01/2021,"115,00","Wódka Ciroc 0,7l",Smacza jama
10/01/2021,"211,00","Wódka Mamont 40% 0,7l w kartoniku",Smacza jama
10/01/2021,"59,00","Wódka Świąteczna Bombka 0,5l",Smacza jama
10/01/2021,"49,90","Wódka Żubrówka Czarna 0,7l",Smacza jama
10/01/2021,"279,00",Wódka Belvedere Intense 1l,Smacza jama
10/01/2021,"27,90","Wódka Krupnik Premium 0,5l",Smacza jama
10/01/2021,"234,00","Wódka Ciroc White Grape 37,5% 0,7l",Smacza jama
10/01/2021,"279,90","Wódka Alien Head Outer Space Chrome Edition Vodka 40% 0,7l + szklanki",Smacza jama
10/01/2021,"199,00","Wódka Belvedere Ginger Zest Imbirowa 0,7l",Smacza jama
10/01/2021,"61,00","Wódka Björn Black 45% 0,7l",Smacza jama
10/01/2021,"199,00","Wódka Ciroc Black Raspberry 0,7l",Smacza jama
10/01/2021,"47,90","Wódka Czysta de Lux 40% 0,7l",Smacza jama
10/01/2021,"63,00","Wódka Dębowa Zając 40% 0,1l",Smacza jama
10/01/2021,"141,00","Wódka Dębowa Zając 40% 0,5l",Smacza jama
10/01/2021,"73,90","Wódka Fuckoff Pure Vodka 40% 0,7l",Smacza jama
10/01/2021,"155,00","Wódka Grey Goose Vive la Nuit LMTD Edition 0,7l",Smacza jama
10/01/2021,"231,90","Wódka Legend of Kremlin Book Red 40% 0,7l edycja limitowana",Smacza jama
10/01/2021,"203,00","Wódka Mamont 40% 0,7l w torebce",Smacza jama
10/01/2021,"51,90","Wódka Pan Tadeusz 40% 0,7l",Smacza jama
10/01/2021,"59,90","Wódka Puschkin The Original 37,5% 0,7l",Smacza jama
10/01/2021,"163,90","Wódka Raki Tekirdag Trakya 45% 0,7l",Smacza jama
10/01/2021,"31,90","Wódka Saska Śliwka Węgierka 32% 0,5l",Smacza jama
10/01/2021,"139,90",Wódka SMIRNOFF BLUE 50% 1l,Smacza jama
10/01/2021,"399,00","Belvedere Pure  007 Illuminator 1,75l",Smacza jama
10/01/2021,"119,00","Miodula Prezydencka 40% 0,5l",Smacza jama
10/01/2021,"189,00","Miodula Prezydencka 40% 0,5l z kieliszkiem",Smacza jama
10/01/2021,"219,00",Miodula Prezydencka 40% z kieliszkami w skrzyni,Smacza jama
10/01/2021,"79,00","Nalewka Litworówka Polowaca 0,5l",Smacza jama
10/01/2021,"105,00","Organiczna wódka Hobe Mahe 39,2% 0,7l",Smacza jama
10/01/2021,"273,00",Wódka 3 Kilos Silver 1l,Smacza jama
10/01/2021,"119,00","Wódka 42 Below 0,7l",Smacza jama
10/01/2021,"129,00","Wódka Abnormal 0,7l",Smacza jama
10/01/2021,"45,00","Wódka Absolut Blue 0,5l",Smacza jama
10/01/2021,"67,00","Wódka Absolut Blue 0,7l w puszce",Smacza jama
10/01/2021,"75,00",Wódka Absolut Blue 1l,Smacza jama
10/01/2021,"55,90","Wódka Absolut Blue Vodka 0,7l",Smacza jama
10/01/2021,"429,90","Wódka Absolut Chicago 40% 0,75l",Smacza jama
10/01/2021,"49,00","Wódka Absolut Citron 0,5l",Smacza jama
10/01/2021,"59,00","Wódka Absolut Citron 0,7l",Smacza jama
10/01/2021,"139,90","Wódka Absolut Elyx 0,7l",Smacza jama
10/01/2021,"91,00","Wódka Absolut Extrakt No. 1 Cardamom 35% 0,7l",Smacza jama
10/01/2021,"49,00","Wódka Absolut Kurant 0,5l",Smacza jama
10/01/2021,"59,00","Wódka Absolut Kurant 0,7l",Smacza jama
10/01/2021,"113,90","Wódka Absolut Lime limonkowa 40% 0,7l",Smacza jama
10/01/2021,"409,90","Wódka Absolut Mexico 40% 0,75l",Smacza jama
10/01/2021,"449,90",Wódka Absolut Miami 40% 1l,Smacza jama
10/01/2021,"141,00",Wódka Absolut Oak 1l,Smacza jama
10/01/2021,"53,00","Wódka Absolut Pears 0,7l",Smacza jama
10/01/2021,"64,00","Wódka Absolut Peppar 40% 0,5l",Smacza jama
10/01/2021,"59,00","Wódka Absolut Ruby Red 0,7l",Smacza jama
10/01/2021,"359,90","Wódka Absolut San Francisco 40% 0,75l",Smacza jama
10/01/2021,"409,90","Wódka Absolut Texas 40% 0,75l",Smacza jama
10/01/2021,"199,90",Wódka Absolut Unique 40% 1l,Smacza jama
10/01/2021,"135,90",Wódka Absolut Unity 40% 1l limitowana edycja,Smacza jama
10/01/2021,"49,00","Wódka Adam Mickiewicz Premium 40% 0,7l",Smacza jama
10/01/2021,"199,00","Wódka Admirals Club 1,75l",Smacza jama
10/01/2021,"211,00",Wódka Akdov Original w tubie,Smacza jama
10/01/2021,"229,00",Wódka Akdov Ultimate w tubie,Smacza jama
10/01/2021,"269,90","Wódka Alien Head Outer Space Chrome Edition Vodka 40% 0,7l",Smacza jama
10/01/2021,"591,00",Wódka Alpha Noble 3l,Smacza jama
10/01/2021,"37,00","Wódka Amundsen 0,5l",Smacza jama
10/01/2021,"49,90","Wódka Amundsen 0,7l",Smacza jama
10/01/2021,"133,00","Wódka Ancient Technology Bimber Vodka 0,7l",Smacza jama
10/01/2021,"149,00","Wódka Ancient Technology Bimber Vodka 0,7l z kieliszkami",Smacza jama
10/01/2021,"211,00","Wódka Ancient Technology Bimber Vodka 0,7l z kieliszkami Limited Edition",Smacza jama
10/01/2021,"262,00","Wódka AnestasiA 0,7l",Smacza jama
10/01/2021,"185,00","Wódka Beluga 0,7l + szklanka",Smacza jama
10/01/2021,"491,00","Wódka Beluga Allure 0,7l w skórzanej tubie",Smacza jama
